Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T17:01:00Z,DraftKings,draftkings,Indianapolis Colts,1.42,70.42,Arizona Cardinals,2.95,33.90,2025-10-06T14:59:26Z,✓,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetUS,betus,Indianapolis Colts,1.38,72.46,Arizona Cardinals,3.23,30.96,2025-10-06T14:59:18Z,,✓
2025-10-06 20:30:10,2025-10-12T17:01:00Z,ESPN BET,espnbet,Indianapolis Colts,1.37,72.99,Arizona Cardinals,3.2,31.25,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,FanDuel,fanduel,Indianapolis Colts,1.4,71.43,Arizona Cardinals,3.05,32.79,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,MyBookie.ag,mybookieag,Indianapolis Colts,1.34,74.63,Arizona Cardinals,3.18,31.45,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,LowVig.ag,lowvig,Indianapolis Colts,1.38,72.46,Arizona Cardinals,3.19,31.35,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetOnline.ag,betonlineag,Indianapolis Colts,1.38,72.46,Arizona Cardinals,3.19,31.35,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetRivers,betrivers,Indianapolis Colts,1.4,71.43,Arizona Cardinals,2.88,34.72,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,betPARX,betparx,Indianapolis Colts,1.41,70.92,Arizona Cardinals,2.95,33.90,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Bally Bet,ballybet,Indianapolis Colts,1.41,70.92,Arizona Cardinals,2.95,33.90,2025-10-06T14:59:56Z,,
