Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-13T23:15:00Z,DraftKings,draftkings,Atlanta Falcons,2.64,37.88,Buffalo Bills,1.51,66.23,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:10,2025-10-13T23:15:00Z,ESPN BET,espnbet,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.51,66.23,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,FanDuel,fanduel,Atlanta Falcons,2.76,36.23,Buffalo Bills,1.48,67.57,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,MyBookie.ag,mybookieag,Atlanta Falcons,2.58,38.76,Buffalo Bills,1.47,68.03,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,LowVig.ag,lowvig,Atlanta Falcons,2.7,37.04,Buffalo Bills,1.51,66.23,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,BetOnline.ag,betonlineag,Atlanta Falcons,2.7,37.04,Buffalo Bills,1.51,66.23,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,Bally Bet,ballybet,Atlanta Falcons,2.55,39.22,Buffalo Bills,1.49,67.11,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,BetRivers,betrivers,Atlanta Falcons,2.55,39.22,Buffalo Bills,1.49,67.11,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,betPARX,betparx,Atlanta Falcons,2.55,39.22,Buffalo Bills,1.49,67.11,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,Bovada,bovada,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.51,66.23,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,Fliff,fliff,Atlanta Falcons,2.8,35.71,Buffalo Bills,1.43,69.93,2025-10-06T14:59:54Z,✓,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,BetMGM,betmgm,Atlanta Falcons,2.7,37.04,Buffalo Bills,1.48,67.57,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,Hard Rock Bet,hardrockbet,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.5,66.67,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-13T23:15:00Z,BetAnything,betanysports,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.51,66.23,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-13T23:15:00Z,DraftKings,draftkings,Atlanta Falcons,2.64,37.88,Buffalo Bills,1.51,66.23,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:14,2025-10-13T23:15:00Z,ESPN BET,espnbet,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.51,66.23,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,FanDuel,fanduel,Atlanta Falcons,2.76,36.23,Buffalo Bills,1.48,67.57,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,MyBookie.ag,mybookieag,Atlanta Falcons,2.58,38.76,Buffalo Bills,1.47,68.03,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,LowVig.ag,lowvig,Atlanta Falcons,2.7,37.04,Buffalo Bills,1.51,66.23,2025-10-06T14:59:45Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,BetOnline.ag,betonlineag,Atlanta Falcons,2.7,37.04,Buffalo Bills,1.51,66.23,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,Bally Bet,ballybet,Atlanta Falcons,2.55,39.22,Buffalo Bills,1.49,67.11,2025-10-06T14:59:56Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,BetRivers,betrivers,Atlanta Falcons,2.55,39.22,Buffalo Bills,1.49,67.11,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,betPARX,betparx,Atlanta Falcons,2.55,39.22,Buffalo Bills,1.49,67.11,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,Bovada,bovada,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.51,66.23,2025-10-06T15:00:02Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,Fliff,fliff,Atlanta Falcons,2.8,35.71,Buffalo Bills,1.43,69.93,2025-10-06T14:59:54Z,✓,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,BetMGM,betmgm,Atlanta Falcons,2.7,37.04,Buffalo Bills,1.48,67.57,2025-10-06T14:59:27Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,Hard Rock Bet,hardrockbet,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.5,66.67,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-13T23:15:00Z,BetAnything,betanysports,Atlanta Falcons,2.65,37.74,Buffalo Bills,1.51,66.23,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
