Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-14T00:16:00Z,DraftKings,draftkings,Washington Commanders,1.52,65.79,Chicago Bears,2.6,38.46,2025-10-06T14:59:26Z,✓,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,ESPN BET,espnbet,Washington Commanders,1.5,66.67,Chicago Bears,2.7,37.04,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,FanDuel,fanduel,Washington Commanders,1.48,67.57,Chicago Bears,2.76,36.23,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,MyBookie.ag,mybookieag,Washington Commanders,1.46,68.49,Chicago Bears,2.6,38.46,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,BetUS,betus,Washington Commanders,1.49,67.11,Chicago Bears,2.75,36.36,2025-10-06T14:59:18Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,LowVig.ag,lowvig,Washington Commanders,1.49,67.11,Chicago Bears,2.77,36.10,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,BetOnline.ag,betonlineag,Washington Commanders,1.49,67.11,Chicago Bears,2.77,36.10,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,BetRivers,betrivers,Washington Commanders,1.5,66.67,Chicago Bears,2.55,39.22,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,Bally Bet,ballybet,Washington Commanders,1.51,66.23,Chicago Bears,2.55,39.22,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,betPARX,betparx,Washington Commanders,1.51,66.23,Chicago Bears,2.55,39.22,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,Bovada,bovada,Washington Commanders,1.5,66.67,Chicago Bears,2.7,37.04,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,Fliff,fliff,Washington Commanders,1.44,69.44,Chicago Bears,2.7,37.04,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,BetMGM,betmgm,Washington Commanders,1.45,68.97,Chicago Bears,2.8,35.71,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-14T00:16:00Z,BetAnything,betanysports,Washington Commanders,1.44,69.44,Chicago Bears,2.85,35.09,2025-10-06T15:00:04Z,,✓
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-14T00:16:00Z,DraftKings,draftkings,Washington Commanders,1.52,65.79,Chicago Bears,2.6,38.46,2025-10-06T14:59:26Z,✓,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,ESPN BET,espnbet,Washington Commanders,1.5,66.67,Chicago Bears,2.7,37.04,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,FanDuel,fanduel,Washington Commanders,1.48,67.57,Chicago Bears,2.76,36.23,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,MyBookie.ag,mybookieag,Washington Commanders,1.46,68.49,Chicago Bears,2.6,38.46,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,BetUS,betus,Washington Commanders,1.49,67.11,Chicago Bears,2.75,36.36,2025-10-06T14:59:18Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,LowVig.ag,lowvig,Washington Commanders,1.49,67.11,Chicago Bears,2.77,36.10,2025-10-06T14:59:45Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,BetOnline.ag,betonlineag,Washington Commanders,1.49,67.11,Chicago Bears,2.77,36.10,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,BetRivers,betrivers,Washington Commanders,1.5,66.67,Chicago Bears,2.55,39.22,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,Bally Bet,ballybet,Washington Commanders,1.51,66.23,Chicago Bears,2.55,39.22,2025-10-06T14:59:56Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,betPARX,betparx,Washington Commanders,1.51,66.23,Chicago Bears,2.55,39.22,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,Bovada,bovada,Washington Commanders,1.5,66.67,Chicago Bears,2.7,37.04,2025-10-06T15:00:02Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,Fliff,fliff,Washington Commanders,1.44,69.44,Chicago Bears,2.7,37.04,2025-10-06T14:59:54Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,BetMGM,betmgm,Washington Commanders,1.45,68.97,Chicago Bears,2.8,35.71,2025-10-06T14:59:27Z,,
2025-10-06 20:30:14,2025-10-14T00:16:00Z,BetAnything,betanysports,Washington Commanders,1.44,69.44,Chicago Bears,2.85,35.09,2025-10-06T15:00:04Z,,✓
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
