Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T17:01:00Z,DraftKings,draftkings,Pittsburgh Steelers,1.41,70.92,Cleveland Browns,3.0,33.33,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetMGM,betmgm,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T14:59:27Z,✓,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetUS,betus,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,3.0,33.33,2025-10-06T14:59:18Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,ESPN BET,espnbet,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,FanDuel,fanduel,Pittsburgh Steelers,1.41,70.92,Cleveland Browns,3.0,33.33,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,MyBookie.ag,mybookieag,Pittsburgh Steelers,1.41,70.92,Cleveland Browns,2.86,34.97,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,LowVig.ag,lowvig,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetOnline.ag,betonlineag,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetRivers,betrivers,Pittsburgh Steelers,1.4,71.43,Cleveland Browns,2.95,33.90,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,betPARX,betparx,Pittsburgh Steelers,1.4,71.43,Cleveland Browns,3.0,33.33,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Bally Bet,ballybet,Pittsburgh Steelers,1.4,71.43,Cleveland Browns,3.0,33.33,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Bovada,bovada,Pittsburgh Steelers,1.42,70.42,Cleveland Browns,3.0,33.33,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Fliff,fliff,Pittsburgh Steelers,1.37,72.99,Cleveland Browns,3.0,33.33,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Hard Rock Bet,hardrockbet,Pittsburgh Steelers,1.4,71.43,Cleveland Browns,3.0,33.33,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetAnything,betanysports,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-12T17:01:00Z,DraftKings,draftkings,Pittsburgh Steelers,1.41,70.92,Cleveland Browns,3.0,33.33,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:14,2025-10-12T17:01:00Z,BetMGM,betmgm,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T14:59:27Z,✓,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,BetUS,betus,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,3.0,33.33,2025-10-06T14:59:18Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,ESPN BET,espnbet,Pittsburgh Steelers,1.43,69.93,Cleveland Browns,2.95,33.90,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,FanDuel,fanduel,Pittsburgh Steelers,1.41,70.92,Cleveland Browns,3.0,33.33,2025-10-06T15:00:14Z,,
