Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-13T00:21:00Z,DraftKings,draftkings,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:10,2025-10-13T00:21:00Z,BetMGM,betmgm,Kansas City Chiefs,1.87,53.48,Detroit Lions,1.95,51.28,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,ESPN BET,espnbet,Kansas City Chiefs,1.87,53.48,Detroit Lions,1.95,51.28,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,FanDuel,fanduel,Kansas City Chiefs,1.89,52.91,Detroit Lions,1.96,51.02,2025-10-06T14:59:46Z,✓,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,MyBookie.ag,mybookieag,Kansas City Chiefs,1.82,54.95,Detroit Lions,1.96,51.02,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,LowVig.ag,lowvig,Kansas City Chiefs,1.85,54.05,Detroit Lions,1.97,50.76,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,BetOnline.ag,betonlineag,Kansas City Chiefs,1.85,54.05,Detroit Lions,1.97,50.76,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,Bally Bet,ballybet,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,BetRivers,betrivers,Kansas City Chiefs,1.81,55.25,Detroit Lions,1.96,51.02,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,betPARX,betparx,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,Fliff,fliff,Kansas City Chiefs,1.87,53.48,Detroit Lions,1.91,52.36,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-13T00:21:00Z,Hard Rock Bet,hardrockbet,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T15:00:05Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-13T00:21:00Z,DraftKings,draftkings,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:14,2025-10-13T00:21:00Z,BetMGM,betmgm,Kansas City Chiefs,1.87,53.48,Detroit Lions,1.95,51.28,2025-10-06T14:59:27Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,ESPN BET,espnbet,Kansas City Chiefs,1.87,53.48,Detroit Lions,1.95,51.28,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,FanDuel,fanduel,Kansas City Chiefs,1.89,52.91,Detroit Lions,1.96,51.02,2025-10-06T15:00:14Z,✓,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,MyBookie.ag,mybookieag,Kansas City Chiefs,1.82,54.95,Detroit Lions,1.96,51.02,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,LowVig.ag,lowvig,Kansas City Chiefs,1.85,54.05,Detroit Lions,1.97,50.76,2025-10-06T14:59:45Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,BetOnline.ag,betonlineag,Kansas City Chiefs,1.85,54.05,Detroit Lions,1.97,50.76,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,Bally Bet,ballybet,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T14:59:56Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,BetRivers,betrivers,Kansas City Chiefs,1.81,55.25,Detroit Lions,1.96,51.02,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,betPARX,betparx,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,Fliff,fliff,Kansas City Chiefs,1.87,53.48,Detroit Lions,1.91,52.36,2025-10-06T14:59:54Z,,
2025-10-06 20:30:14,2025-10-13T00:21:00Z,Hard Rock Bet,hardrockbet,Kansas City Chiefs,1.83,54.64,Detroit Lions,2.0,50.00,2025-10-06T15:00:05Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
