Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-07T00:16:00Z,DraftKings,draftkings,Jacksonville Jaguars,2.64,37.88,Kansas City Chiefs,1.51,66.23,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,BetUS,betus,Jacksonville Jaguars,2.67,37.45,Kansas City Chiefs,1.51,66.23,2025-10-06T14:59:18Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,ESPN BET,espnbet,Jacksonville Jaguars,2.65,37.74,Kansas City Chiefs,1.51,66.23,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,FanDuel,fanduel,Jacksonville Jaguars,2.6,38.46,Kansas City Chiefs,1.53,65.36,2025-10-06T14:59:46Z,,✓
2025-10-06 20:30:10,2025-10-07T00:16:00Z,MyBookie.ag,mybookieag,Jacksonville Jaguars,2.61,38.31,Kansas City Chiefs,1.5,66.67,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,LowVig.ag,lowvig,Jacksonville Jaguars,2.75,36.36,Kansas City Chiefs,1.5,66.67,2025-10-06T14:59:45Z,✓,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,BetOnline.ag,betonlineag,Jacksonville Jaguars,2.75,36.36,Kansas City Chiefs,1.5,66.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,Fliff,fliff,Jacksonville Jaguars,2.7,37.04,Kansas City Chiefs,1.44,69.44,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,Bally Bet,ballybet,Jacksonville Jaguars,2.65,37.74,Kansas City Chiefs,1.5,66.67,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,betPARX,betparx,Jacksonville Jaguars,2.65,37.74,Kansas City Chiefs,1.5,66.67,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,BetRivers,betrivers,Jacksonville Jaguars,2.63,38.02,Kansas City Chiefs,1.49,67.11,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,Bovada,bovada,Jacksonville Jaguars,2.7,37.04,Kansas City Chiefs,1.5,66.67,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,BetMGM,betmgm,Jacksonville Jaguars,2.65,37.74,Kansas City Chiefs,1.5,66.67,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,BetAnything,betanysports,Jacksonville Jaguars,2.75,36.36,Kansas City Chiefs,1.47,68.03,2025-10-06T15:00:04Z,,
2025-10-06 20:30:10,2025-10-07T00:16:00Z,Hard Rock Bet,hardrockbet,Jacksonville Jaguars,2.65,37.74,Kansas City Chiefs,1.5,66.67,2025-10-06T15:00:05Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-07T00:16:00Z,DraftKings,draftkings,Jacksonville Jaguars,2.64,37.88,Kansas City Chiefs,1.51,66.23,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-07T00:16:00Z,BetUS,betus,Jacksonville Jaguars,2.67,37.45,Kansas City Chiefs,1.51,66.23,2025-10-06T14:59:18Z,,
2025-10-06 20:30:14,2025-10-07T00:16:00Z,ESPN BET,espnbet,Jacksonville Jaguars,2.65,37.74,Kansas City Chiefs,1.51,66.23,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-07T00:16:00Z,FanDuel,fanduel,Jacksonville Jaguars,2.6,38.46,Kansas City Chiefs,1.53,65.36,2025-10-06T15:00:14Z,,✓
2025-10-06 20:30:14,2025-10-07T00:16:00Z,MyBookie.ag,mybookieag,Jacksonville Jaguars,2.61,38.31,Kansas City Chiefs,1.5,66.67,2025-10-06T14:58:39Z,,
