Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T17:01:00Z,DraftKings,draftkings,Baltimore Ravens,4.3,23.26,Los Angeles Rams,1.24,80.65,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetUS,betus,Baltimore Ravens,4.38,22.83,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:18Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,ESPN BET,espnbet,Baltimore Ravens,4.6,21.74,Los Angeles Rams,1.2,83.33,2025-10-06T15:00:05Z,✓,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,FanDuel,fanduel,Baltimore Ravens,4.3,23.26,Los Angeles Rams,1.24,80.65,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,MyBookie.ag,mybookieag,Baltimore Ravens,4.0,25.00,Los Angeles Rams,1.23,81.30,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetRivers,betrivers,Baltimore Ravens,4.1,24.39,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,betPARX,betparx,Baltimore Ravens,4.25,23.53,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Bally Bet,ballybet,Baltimore Ravens,4.25,23.53,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Fliff,fliff,Baltimore Ravens,4.05,24.69,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetMGM,betmgm,Baltimore Ravens,4.5,22.22,Los Angeles Rams,1.22,81.97,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Hard Rock Bet,hardrockbet,Baltimore Ravens,4.5,22.22,Los Angeles Rams,1.22,81.97,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetOnline.ag,betonlineag,Baltimore Ravens,4.37,22.88,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,LowVig.ag,lowvig,Baltimore Ravens,4.37,22.88,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetAnything,betanysports,Baltimore Ravens,4.35,22.99,Los Angeles Rams,1.23,81.30,2025-10-06T15:00:04Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Bovada,bovada,Baltimore Ravens,4.05,24.69,Los Angeles Rams,1.24,80.65,2025-10-06T15:00:02Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-12T17:01:00Z,DraftKings,draftkings,Baltimore Ravens,4.3,23.26,Los Angeles Rams,1.24,80.65,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:14,2025-10-12T17:01:00Z,BetUS,betus,Baltimore Ravens,4.38,22.83,Los Angeles Rams,1.23,81.30,2025-10-06T14:59:18Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,ESPN BET,espnbet,Baltimore Ravens,4.6,21.74,Los Angeles Rams,1.2,83.33,2025-10-06T15:00:05Z,✓,
