Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T20:25:00Z,DraftKings,draftkings,New Orleans Saints,2.54,39.37,New England Patriots,1.54,64.94,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:10,2025-10-12T20:25:00Z,ESPN BET,espnbet,New Orleans Saints,2.7,37.04,New England Patriots,1.5,66.67,2025-10-06T15:00:05Z,✓,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,FanDuel,fanduel,New Orleans Saints,2.58,38.76,New England Patriots,1.53,65.36,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,MyBookie.ag,mybookieag,New Orleans Saints,2.55,39.22,New England Patriots,1.5,66.67,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,BetOnline.ag,betonlineag,New Orleans Saints,2.65,37.74,New England Patriots,1.53,65.36,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,LowVig.ag,lowvig,New Orleans Saints,2.65,37.74,New England Patriots,1.53,65.36,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,Bally Bet,ballybet,New Orleans Saints,2.64,37.88,New England Patriots,1.5,66.67,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,BetRivers,betrivers,New Orleans Saints,2.6,38.46,New England Patriots,1.49,67.11,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,betPARX,betparx,New Orleans Saints,2.64,37.88,New England Patriots,1.5,66.67,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,Bovada,bovada,New Orleans Saints,2.7,37.04,New England Patriots,1.5,66.67,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,Fliff,fliff,New Orleans Saints,2.6,38.46,New England Patriots,1.49,67.11,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,BetMGM,betmgm,New Orleans Saints,2.55,39.22,New England Patriots,1.53,65.36,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,Hard Rock Bet,hardrockbet,New Orleans Saints,2.55,39.22,New England Patriots,1.53,65.36,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T20:25:00Z,BetAnything,betanysports,New Orleans Saints,2.65,37.74,New England Patriots,1.53,65.36,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-12T20:25:00Z,DraftKings,draftkings,New Orleans Saints,2.54,39.37,New England Patriots,1.54,64.94,2025-10-06T14:59:26Z,,✓
2025-10-06 20:30:14,2025-10-12T20:25:00Z,ESPN BET,espnbet,New Orleans Saints,2.7,37.04,New England Patriots,1.5,66.67,2025-10-06T15:00:05Z,✓,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,FanDuel,fanduel,New Orleans Saints,2.58,38.76,New England Patriots,1.53,65.36,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,MyBookie.ag,mybookieag,New Orleans Saints,2.55,39.22,New England Patriots,1.5,66.67,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,BetOnline.ag,betonlineag,New Orleans Saints,2.65,37.74,New England Patriots,1.53,65.36,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,LowVig.ag,lowvig,New Orleans Saints,2.65,37.74,New England Patriots,1.53,65.36,2025-10-06T14:59:45Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,Bally Bet,ballybet,New Orleans Saints,2.64,37.88,New England Patriots,1.5,66.67,2025-10-06T14:59:56Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,BetRivers,betrivers,New Orleans Saints,2.6,38.46,New England Patriots,1.49,67.11,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,betPARX,betparx,New Orleans Saints,2.64,37.88,New England Patriots,1.5,66.67,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,Bovada,bovada,New Orleans Saints,2.7,37.04,New England Patriots,1.5,66.67,2025-10-06T15:00:02Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,Fliff,fliff,New Orleans Saints,2.6,38.46,New England Patriots,1.49,67.11,2025-10-06T14:59:54Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,BetMGM,betmgm,New Orleans Saints,2.55,39.22,New England Patriots,1.53,65.36,2025-10-06T14:59:27Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,Hard Rock Bet,hardrockbet,New Orleans Saints,2.55,39.22,New England Patriots,1.53,65.36,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-12T20:25:00Z,BetAnything,betanysports,New Orleans Saints,2.65,37.74,New England Patriots,1.53,65.36,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
