Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T20:26:00Z,DraftKings,draftkings,Tampa Bay Buccaneers,1.6,62.50,San Francisco 49ers,2.4,41.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,BetUS,betus,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.38,42.02,2025-10-06T14:59:18Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,ESPN BET,espnbet,Tampa Bay Buccaneers,1.57,63.69,San Francisco 49ers,2.5,40.00,2025-10-06T15:00:05Z,,✓
2025-10-06 20:30:10,2025-10-12T20:26:00Z,FanDuel,fanduel,Tampa Bay Buccaneers,1.63,61.35,San Francisco 49ers,2.34,42.74,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,MyBookie.ag,mybookieag,Tampa Bay Buccaneers,1.59,62.89,San Francisco 49ers,2.32,43.10,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,BetOnline.ag,betonlineag,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.4,41.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,LowVig.ag,lowvig,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.4,41.67,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,Bally Bet,ballybet,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.32,43.10,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,BetRivers,betrivers,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.25,44.44,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,betPARX,betparx,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.32,43.10,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,Bovada,bovada,Tampa Bay Buccaneers,1.61,62.11,San Francisco 49ers,2.4,41.67,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,Hard Rock Bet,hardrockbet,Tampa Bay Buccaneers,1.61,62.11,San Francisco 49ers,2.35,42.55,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,BetMGM,betmgm,Tampa Bay Buccaneers,1.65,60.61,San Francisco 49ers,2.3,43.48,2025-10-06T14:59:27Z,✓,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,Fliff,fliff,Tampa Bay Buccaneers,1.61,62.11,San Francisco 49ers,2.3,43.48,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-12T20:26:00Z,BetAnything,betanysports,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.4,41.67,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-12T20:26:00Z,DraftKings,draftkings,Tampa Bay Buccaneers,1.6,62.50,San Francisco 49ers,2.4,41.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,BetUS,betus,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.38,42.02,2025-10-06T14:59:18Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,ESPN BET,espnbet,Tampa Bay Buccaneers,1.57,63.69,San Francisco 49ers,2.5,40.00,2025-10-06T15:00:05Z,,✓
2025-10-06 20:30:14,2025-10-12T20:26:00Z,FanDuel,fanduel,Tampa Bay Buccaneers,1.63,61.35,San Francisco 49ers,2.34,42.74,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,MyBookie.ag,mybookieag,Tampa Bay Buccaneers,1.59,62.89,San Francisco 49ers,2.32,43.10,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,BetOnline.ag,betonlineag,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.4,41.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,LowVig.ag,lowvig,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.4,41.67,2025-10-06T14:59:45Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,Bally Bet,ballybet,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.32,43.10,2025-10-06T14:59:56Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,BetRivers,betrivers,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.25,44.44,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,betPARX,betparx,Tampa Bay Buccaneers,1.62,61.73,San Francisco 49ers,2.32,43.10,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,Bovada,bovada,Tampa Bay Buccaneers,1.61,62.11,San Francisco 49ers,2.4,41.67,2025-10-06T15:00:02Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,Hard Rock Bet,hardrockbet,Tampa Bay Buccaneers,1.61,62.11,San Francisco 49ers,2.35,42.55,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,BetMGM,betmgm,Tampa Bay Buccaneers,1.65,60.61,San Francisco 49ers,2.3,43.48,2025-10-06T14:59:27Z,✓,
2025-10-06 20:30:14,2025-10-12T20:26:00Z,Fliff,fliff,Tampa Bay Buccaneers,1.61,62.11,San Francisco 49ers,2.3,43.48,2025-10-06T14:59:54Z,,
