Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T17:01:00Z,DraftKings,draftkings,Jacksonville Jaguars,2.0,50.00,Seattle Seahawks,1.83,54.64,2025-10-06T14:59:26Z,✓,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,ESPN BET,espnbet,Jacksonville Jaguars,2.0,50.00,Seattle Seahawks,1.83,54.64,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,FanDuel,fanduel,Jacksonville Jaguars,1.96,51.02,Seattle Seahawks,1.89,52.91,2025-10-06T14:59:46Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,MyBookie.ag,mybookieag,Jacksonville Jaguars,1.92,52.08,Seattle Seahawks,1.86,53.76,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Bally Bet,ballybet,Jacksonville Jaguars,1.88,53.19,Seattle Seahawks,1.93,51.81,2025-10-06T14:59:56Z,,✓
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetRivers,betrivers,Jacksonville Jaguars,1.87,53.48,Seattle Seahawks,1.91,52.36,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,betPARX,betparx,Jacksonville Jaguars,1.88,53.19,Seattle Seahawks,1.93,51.81,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,Fliff,fliff,Jacksonville Jaguars,1.95,51.28,Seattle Seahawks,1.83,54.64,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-12T17:01:00Z,BetMGM,betmgm,Jacksonville Jaguars,1.91,52.36,Seattle Seahawks,1.91,52.36,2025-10-06T14:59:27Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-12T17:01:00Z,DraftKings,draftkings,Jacksonville Jaguars,2.0,50.00,Seattle Seahawks,1.83,54.64,2025-10-06T14:59:26Z,✓,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,ESPN BET,espnbet,Jacksonville Jaguars,2.0,50.00,Seattle Seahawks,1.83,54.64,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,FanDuel,fanduel,Jacksonville Jaguars,1.96,51.02,Seattle Seahawks,1.89,52.91,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,MyBookie.ag,mybookieag,Jacksonville Jaguars,1.92,52.08,Seattle Seahawks,1.86,53.76,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,Bally Bet,ballybet,Jacksonville Jaguars,1.88,53.19,Seattle Seahawks,1.93,51.81,2025-10-06T14:59:56Z,,✓
2025-10-06 20:30:14,2025-10-12T17:01:00Z,BetRivers,betrivers,Jacksonville Jaguars,1.87,53.48,Seattle Seahawks,1.91,52.36,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,betPARX,betparx,Jacksonville Jaguars,1.88,53.19,Seattle Seahawks,1.93,51.81,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,Fliff,fliff,Jacksonville Jaguars,1.95,51.28,Seattle Seahawks,1.83,54.64,2025-10-06T14:59:54Z,,
2025-10-06 20:30:14,2025-10-12T17:01:00Z,BetMGM,betmgm,Jacksonville Jaguars,1.91,52.36,Seattle Seahawks,1.91,52.36,2025-10-06T14:59:27Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
