Timestamp,Game Time,Platform,Platform Key,Home Team,Home Odds (Decimal),Home Probability (%),Away Team,Away Odds (Decimal),Away Probability (%),Last Update,Best Home Odds,Best Away Odds
2025-10-06 20:30:10,2025-10-12T20:06:00Z,DraftKings,draftkings,Las Vegas Raiders,1.37,72.99,Tennessee Titans,3.2,31.25,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,BetUS,betus,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.3,30.30,2025-10-06T14:59:18Z,,✓
2025-10-06 20:30:10,2025-10-12T20:06:00Z,ESPN BET,espnbet,Las Vegas Raiders,1.37,72.99,Tennessee Titans,3.2,31.25,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,FanDuel,fanduel,Las Vegas Raiders,1.38,72.46,Tennessee Titans,3.15,31.75,2025-10-06T14:59:46Z,✓,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,MyBookie.ag,mybookieag,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.08,32.47,2025-10-06T14:58:39Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,BetOnline.ag,betonlineag,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.26,30.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,LowVig.ag,lowvig,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.26,30.67,2025-10-06T14:59:45Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,BetRivers,betrivers,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.1,32.26,2025-10-06T14:59:37Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,betPARX,betparx,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.2,31.25,2025-10-06T14:59:08Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,Bally Bet,ballybet,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.2,31.25,2025-10-06T14:59:56Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,Bovada,bovada,Las Vegas Raiders,1.37,72.99,Tennessee Titans,3.2,31.25,2025-10-06T15:00:02Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,Fliff,fliff,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.05,32.79,2025-10-06T14:59:54Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,BetMGM,betmgm,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.25,30.77,2025-10-06T14:59:27Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,Hard Rock Bet,hardrockbet,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.25,30.77,2025-10-06T15:00:05Z,,
2025-10-06 20:30:10,2025-10-12T20:06:00Z,BetAnything,betanysports,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.3,30.30,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
2025-10-06 20:30:14,2025-10-12T20:06:00Z,DraftKings,draftkings,Las Vegas Raiders,1.37,72.99,Tennessee Titans,3.2,31.25,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,BetUS,betus,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.3,30.30,2025-10-06T14:59:18Z,,✓
2025-10-06 20:30:14,2025-10-12T20:06:00Z,ESPN BET,espnbet,Las Vegas Raiders,1.37,72.99,Tennessee Titans,3.2,31.25,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,FanDuel,fanduel,Las Vegas Raiders,1.38,72.46,Tennessee Titans,3.15,31.75,2025-10-06T15:00:14Z,✓,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,MyBookie.ag,mybookieag,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.08,32.47,2025-10-06T14:58:39Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,BetOnline.ag,betonlineag,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.26,30.67,2025-10-06T14:59:26Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,LowVig.ag,lowvig,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.26,30.67,2025-10-06T14:59:45Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,BetRivers,betrivers,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.1,32.26,2025-10-06T14:59:37Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,betPARX,betparx,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.2,31.25,2025-10-06T15:00:14Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,Bally Bet,ballybet,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.2,31.25,2025-10-06T14:59:56Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,Bovada,bovada,Las Vegas Raiders,1.37,72.99,Tennessee Titans,3.2,31.25,2025-10-06T15:00:02Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,Fliff,fliff,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.05,32.79,2025-10-06T14:59:54Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,BetMGM,betmgm,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.25,30.77,2025-10-06T14:59:27Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,Hard Rock Bet,hardrockbet,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.25,30.77,2025-10-06T15:00:05Z,,
2025-10-06 20:30:14,2025-10-12T20:06:00Z,BetAnything,betanysports,Las Vegas Raiders,1.36,73.53,Tennessee Titans,3.3,30.30,2025-10-06T15:00:04Z,,
---,---,---,---,---,0.0,---,---,0.0,---,---,---,---
